Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Balance,0,0,11,obj1,208.74664915181825,196.36333379616875
Balance,0,1,11,obj1,181.0509,243.93037
Balance,0,2,11,obj1,193.78627,198.99594
Balance,0,3,11,obj1,218.25902703034504,206.94738719046364
Balance,0,4,11,obj1,237.6999,214.74686
Balance,0,5,11,obj1,190.73077,182.55086
Balance,0,6,11,obj1,188.02058,218.50377999999998
Balance,0,7,11,obj2,190.73077,182.55086
Balance,0,8,11,obj2,218.25902703034504,206.94738719046364
Balance,0,9,11,obj1,218.25902703034504,206.94738719046364
Balance,0,10,11,obj2,208.74664915181825,196.36333379616875
Balance,1,0,11,obj2,218.25902703034504,159.86255039856175
Balance,1,1,11,obj1,218.25902703034504,159.86255039856175
Balance,1,2,11,obj2,218.25902703034504,159.86255039856175
Balance,1,3,11,obj3,193.44643993619408,96.75569476975184
Balance,1,4,11,obj1,193.44643993619408,96.75569476975184
Balance,1,5,11,obj2,193.44643993619408,96.75569476975184
Balance,1,6,11,obj2,199.35472,107.86303000000001
Balance,1,7,11,obj1,199.35472,107.86303000000001
Balance,1,8,11,obj2,188.02997,56.589962
Balance,1,9,11,obj1,188.02997,56.589962
Balance,1,10,11,obj2,193.72183,56.37576
Balance,2,0,2,obj1,209.882246421559,252.3757477462773
Balance,2,1,2,obj2,356.26273,379.48537999999996
Balance,3,0,11,obj1,193.44643993619408,230.29034141378526
Balance,3,1,11,obj2,190.57123317800938,117.7457621276661
Balance,3,2,11,obj1,190.57123317800938,117.7457621276661
Balance,3,3,11,obj2,190.57123317800938,117.7457621276661
Balance,3,4,11,obj2,193.44643993619408,230.29034141378526
Balance,3,5,11,obj1,193.44643993619408,230.29034141378526
Balance,3,6,11,obj1,225.6804656445207,194.2322107845601
Balance,3,7,11,obj1,244.05516,56.491257
Balance,3,8,11,obj2,225.6804656445207,194.2322107845601
Balance,3,9,11,obj1,225.6804656445207,194.2322107845601
Balance,3,10,11,obj2,235.78734727638889,106.49112417150644
Balance,4,0,11,obj2,213.59068437498505,41.5
Balance,4,1,11,obj1,213.59068437498505,41.5
Balance,4,2,11,obj2,213.59068437498505,41.5
Balance,4,3,11,obj1,218.25902703034504,219.6861648772871
Balance,4,4,11,obj2,218.25902703034504,219.6861648772871
Balance,4,5,11,obj2,219.19537000000003,213.60986
Balance,4,6,11,obj1,219.19537000000003,213.60986
Balance,4,7,11,obj1,218.25902703034504,219.6861648772871
Balance,4,8,11,obj1,226.92507999999998,204.00352
Balance,4,9,11,obj3,419.50545999999997,410.7155
Balance,4,10,11,obj2,186.54349,175.68124
Balance,5,0,11,obj2,212.85511437309054,248.9343561524304
Balance,5,1,11,obj1,212.85511437309054,248.9343561524304
Balance,5,2,11,obj2,211.7860278374541,228.69350943679538
Balance,5,3,11,obj1,211.7860278374541,228.69350943679538
Balance,5,4,11,obj2,211.7860278374541,228.69350943679538
Balance,5,5,11,obj2,212.85511437309054,248.9343561524304
Balance,5,6,11,obj1,221.17213761534703,396.9473705280743
Balance,5,7,11,obj3,221.17213761534703,396.9473705280743
Balance,5,8,11,obj1,221.17213761534703,396.9473705280743
Balance,5,9,11,obj2,429.83077370190665,113.41522252820835
Balance,5,10,11,obj3,195.50037,224.61966
Balance,6,0,11,obj2,220.57123317800938,101.95737711369877
Balance,6,1,11,obj2,203.834691066522,175.13130169500923
Balance,6,2,11,obj1,203.834691066522,175.13130169500923
Balance,6,3,11,obj1,220.57123317800938,101.95737711369877
Balance,6,4,11,obj2,203.834691066522,175.13130169500923
Balance,6,5,11,obj2,220.57123317800938,101.95737711369877
Balance,6,6,11,obj1,176.8580633751628,105.01927586206664
Balance,6,7,11,obj3,203.834691066522,175.13130169500923
Balance,6,8,11,obj1,173.44643993619408,183.02573866537185
Balance,6,9,11,obj3,408.9928242299367,117.17083854388548
Balance,6,10,11,obj1,392.2502920674997,34.25
Balance,7,0,11,obj1,179.882246421559,258.3315544722688
Balance,7,1,11,obj1,223.2010227962863,161.1837505980177
Balance,7,2,11,obj1,178.84845,257.56253
Balance,7,3,11,obj3,487.0061,415.82693
Balance,7,4,11,obj2,203.8514180510433,110.97450248817978
Balance,7,5,11,obj1,203.8514180510433,110.97450248817978
Balance,7,6,11,obj2,203.8514180510433,110.97450248817978
Balance,7,7,11,obj1,239.78177664773202,255.75
Balance,7,8,11,obj2,216.4443004472404,207.23977410029354
Balance,7,9,11,obj1,216.4443004472404,207.23977410029354
Balance,7,10,11,obj2,216.4443004472404,207.23977410029354
Balance,8,0,9,obj2,220.06009993686962,131.53293336559693
Balance,8,1,9,obj1,220.06009993686962,131.53293336559693
Balance,8,2,9,obj3,421.76758,411.9522
Balance,8,3,9,obj2,193.44643993619408,222.7029167024389
Balance,8,4,9,obj1,193.44643993619408,222.7029167024389
Balance,8,5,9,obj3,448.79623,394.26532000000003
Balance,8,6,9,obj2,193.44643993619408,222.7029167024389
Balance,8,7,9,obj1,227.31400956174645,34.25
Balance,8,8,9,obj3,464.9017,415.26547
Balance,9,0,11,obj1,209.882246421559,202.7115656148852
Balance,9,1,11,obj1,224.43003551349187,114.0030940843598
Balance,9,2,11,obj1,218.25902703034504,34.25
Balance,9,3,11,obj2,206.8580633751628,216.92141738744542
Balance,9,4,11,obj1,206.8580633751628,216.92141738744542
Balance,9,5,11,obj1,223.43427999999997,94.16192
Balance,9,6,11,obj1,234.54117999999997,76.555824
Balance,9,7,11,obj2,206.8580633751628,216.92141738744542
Balance,9,8,11,obj2,209.882246421559,202.7115656148852
Balance,9,9,11,obj1,209.882246421559,202.7115656148852
Balance,9,10,11,obj2,224.43003551349187,114.0030940843598
Shove,0,0,1,obj1,382.90002261790704,160.5266611461781
Shove,1,0,1,obj1,361.1736100231289,342.50759341242383
Shove,2,0,1,obj1,413.40439620308,357.19926822244963
Shove,3,0,1,obj1,353.1005110716958,131.7040054146076
Shove,4,0,1,obj1,344.88584004082566,259.275664572916
Shove,5,0,1,obj1,340.1735398547761,128.21182832961813
Shove,6,0,1,obj1,355.6531777818484,322.19984358967463
Shove,7,0,1,obj1,367.98042107935237,105.38132057875133
Shove,8,0,1,obj1,377.0200260476326,200.49489018086632
Shove,9,0,1,obj1,381.4093323078393,332.080649029511
Remove,0,0,11,obj2,364.7772237834436,103.95181002273584
Remove,0,1,11,obj3,364.7772237834436,103.95181002273584
Remove,0,2,11,obj2,365.0532754777042,436.72794502064164
Remove,0,3,11,obj1,365.0532754777042,436.72794502064164
Remove,0,4,11,obj2,182.16763,512.5727
Remove,0,5,11,obj2,146.57613999999998,490.03967
Remove,0,6,11,obj2,138.51468,495.58176
Remove,0,7,11,obj3,138.51468,495.58176
Remove,0,8,11,obj3,243.97717000000003,530.2908
Remove,0,9,11,obj1,243.97717000000003,530.2908
Remove,0,10,11,obj1,138.51468,495.58176
Remove,1,0,11,obj3,375.62764275622703,184.91790663516645
Remove,1,1,11,obj2,344.2897973816078,201.139801375372
Remove,1,2,11,obj2,164.13978999999998,444.64117000000005
Remove,1,3,11,obj2,155.88556,483.44406
Remove,1,4,11,obj2,167.93901,473.73965
Remove,1,5,11,obj1,167.93901,473.73965
Remove,1,6,11,obj2,165.40843,473.84432999999996
Remove,1,7,11,obj2,173.93513000000002,454.92416
Remove,1,8,11,obj1,173.93513000000002,454.92416
Remove,1,9,11,obj2,191.23963999999998,437.96982
Remove,1,10,11,obj2,212.63157999999999,435.79953
Remove,2,0,10,obj1,378.439446460287,138.30628217736628
Remove,2,1,10,obj1,35.54932213997049,197.59285207152817
Remove,2,2,10,obj2,372.16006271391626,490.9512896959575
Remove,2,3,10,obj1,372.16006271391626,490.9512896959575
Remove,2,4,10,obj2,378.439446460287,138.30628217736628
Remove,2,5,10,obj3,35.54932213997049,197.59285207152817
Remove,2,6,10,obj1,378.439446460287,138.30628217736628
Remove,2,7,10,obj1,35.54932213997049,197.59285207152817
Remove,2,8,10,obj2,364.1172825851784,228.09942244618335
Remove,2,9,10,obj3,340.24332000000004,377.50208
Remove,3,0,6,obj3,370.4593361263522,570.4075202130906
Remove,3,1,6,obj1,354.57452789209634,186.5808982408712
Remove,3,2,6,obj1,219.82948,332.12292
Remove,3,3,6,obj3,219.82948,332.12292
Remove,3,4,6,obj2,354.57452789209634,186.5808982408712
Remove,3,5,6,obj2,395.53137000000004,442.86453
Remove,4,0,11,obj3,30.42549460411057,23.0
Remove,4,1,11,obj2,378.1336768948426,351.4697562784342
Remove,4,2,11,obj2,225.93976,222.60654
Remove,4,3,11,obj1,312.94513,308.00397000000004
Remove,4,4,11,obj2,268.72287,303.66425
Remove,4,5,11,obj3,231.50952,235.99799
Remove,4,6,11,obj1,268.72287,303.66425
Remove,4,7,11,obj3,268.72287,303.66425
Remove,4,8,11,obj1,225.93976,222.60654
Remove,4,9,11,obj1,231.50952,235.99799
Remove,4,10,11,obj2,369.48629154507375,468.02574385413203
Remove,5,0,11,obj2,38.13544536240657,509.3383732986409
Remove,5,1,11,obj1,38.13544536240657,509.3383732986409
Remove,5,2,11,obj2,38.13544536240657,509.3383732986409
Remove,5,3,11,obj3,349.56105197393816,383.82927419943024
Remove,5,4,11,obj2,360.2816884248722,436.7485050780478
Remove,5,5,11,obj2,121.4604,319.0264
Remove,5,6,11,obj1,263.59515,329.20416
Remove,5,7,11,obj1,263.4105,358.2969
Remove,5,8,11,obj2,263.4105,358.2969
Remove,5,9,11,obj1,361.121,504.11124
Remove,5,10,11,obj2,44.49409,206.55923
Remove,6,0,11,obj3,339.6276427562271,515.3092905455323
Remove,6,1,11,obj3,361.0003281296711,199.18210439499572
Remove,6,2,11,obj1,227.43287999999998,249.31955
Remove,6,3,11,obj2,227.43287999999998,249.31955
Remove,6,4,11,obj2,52.722786,85.65366
Remove,6,5,11,obj1,339.6276427562271,515.3092905455323
Remove,6,6,11,obj3,227.43287999999998,249.31955
Remove,6,7,11,obj3,256.2007,557.43787
Remove,6,8,11,obj1,256.2007,557.43787
Remove,6,9,11,obj2,256.2007,557.43787
Remove,6,10,11,obj3,85.96968000000001,290.7989
Remove,7,0,11,obj3,21.23433912995165,193.2840623850833
Remove,7,1,11,obj1,363.7973,373.84963999999997
Remove,7,2,11,obj1,426.5171,340.1578
Remove,7,3,11,obj3,324.38692766889267,23.0
Remove,7,4,11,obj2,515.4004,533.72546
Remove,7,5,11,obj1,515.4004,533.72546
Remove,7,6,11,obj2,363.7973,373.84963999999997
Remove,7,7,11,obj2,324.38692766889267,23.0
Remove,7,8,11,obj1,373.6758297724694,243.9593542521151
Remove,7,9,11,obj3,373.6758297724694,243.9593542521151
Remove,7,10,11,obj2,373.6758297724694,243.9593542521151
Remove,8,0,5,obj3,39.09609841089133,562.4011811655952
Remove,8,1,5,obj2,39.09609841089133,562.4011811655952
Remove,8,2,5,obj3,39.09609841089133,562.4011811655952
Remove,8,3,5,obj1,39.09609841089133,562.4011811655952
Remove,8,4,5,obj3,254.6201,551.6561
Remove,9,0,7,obj2,32.31423432769037,362.3820369517391
Remove,9,1,7,obj2,370.1110682711497,379.52119076292325
Remove,9,2,7,obj3,331.48696258781916,55.947547928514346
Remove,9,3,7,obj1,379.48436913235975,262.63434578995845
Remove,9,4,7,obj2,379.48436913235975,262.63434578995845
Remove,9,5,7,obj1,329.73413031814425,488.0369701170712
Remove,9,6,7,obj2,321.93878,392.5153
Spiky,0,0,11,obj2,202.05029651757417,432.3969628266894
Spiky,0,1,11,obj3,157.21946240481898,551.9609691218377
Spiky,0,2,11,obj3,199.1141771220004,544.8653958342084
Spiky,0,3,11,obj2,184.4569464961102,419.1836743416394
Spiky,0,4,11,obj1,184.4569464961102,419.1836743416394
Spiky,0,5,11,obj2,184.4569464961102,419.1836743416394
Spiky,0,6,11,obj1,177.68820803848166,408.39783644018473
Spiky,0,7,11,obj2,177.68820803848166,408.39783644018473
Spiky,0,8,11,obj2,173.71259927808705,423.01162280898285
Spiky,0,9,11,obj1,177.68820803848166,408.39783644018473
Spiky,0,10,11,obj1,173.71259927808705,423.01162280898285
Spiky,1,0,11,obj2,185.39339745498881,501.97706821145
Spiky,1,1,11,obj1,185.39339745498881,501.97706821145
Spiky,1,2,11,obj2,194.63060901195053,510.6792957331778
Spiky,1,3,11,obj3,194.63060901195053,510.6792957331778
Spiky,1,4,11,obj1,194.63060901195053,510.6792957331778
Spiky,1,5,11,obj2,194.63060901195053,510.6792957331778
Spiky,1,6,11,obj1,180.0800047238913,442.94840539755563
Spiky,1,7,11,obj3,191.71002192484588,401.4177578457888
Spiky,1,8,11,obj2,191.71002192484588,401.4177578457888
Spiky,1,9,11,obj3,191.71002192484588,401.4177578457888
Spiky,1,10,11,obj1,191.71002192484588,401.4177578457888
Spiky,2,0,11,obj2,184.3573009709972,526.681694735608
Spiky,2,1,11,obj2,193.9571205021357,564.8469865905807
Spiky,2,2,11,obj3,171.45052018747282,555.6823186002376
Spiky,2,3,11,obj1,184.38123462606163,578.738650007813
Spiky,2,4,11,obj3,193.9571205021357,564.8469865905807
