Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Balance,0,0,11,obj3,475.8063536435607,205.7753485404144
Balance,0,1,11,obj1,227.81755445287254,87.60911773133093
Balance,0,2,11,obj2,227.0475904963396,246.30486515075583
Balance,0,3,11,obj3,376.86522108873487,341.06477013125976
Balance,0,4,11,obj1,255.33713259725985,140.72343928123465
Balance,0,5,11,obj2,205.31653190753377,129.8820693216157
Balance,0,6,11,obj2,192.51488389223167,41.5
Balance,0,7,11,obj1,225.2949567082311,34.25
Balance,0,8,11,obj2,218.0814720953421,235.60629476874593
Balance,0,9,11,obj2,189.13475345166492,199.74880343263112
Balance,0,10,11,obj1,348.19704178906164,342.62517659377636
Balance,1,0,11,obj1,202.31127016763725,229.20818043335225
Balance,1,1,11,obj3,257.6586961242823,100.18106248147993
Balance,1,2,11,obj1,209.44825469766133,34.25
Balance,1,3,11,obj2,209.55702877000084,219.12781885565704
Balance,1,4,11,obj3,196.5529476267593,105.11239280081642
Balance,1,5,11,obj3,195.984007350947,127.52250887344739
Balance,1,6,11,obj1,204.85010469403687,224.77739573928017
Balance,1,7,11,obj2,476.63705698846877,82.14396743972209
Balance,1,8,11,obj3,194.5450994099194,81.23727120115083
Balance,1,9,11,obj1,217.7670303087372,34.25
Balance,1,10,11,obj1,216.8479483771941,126.75319860545643
Balance,2,0,2,obj1,200.93586163983542,110.97384197852185
Balance,2,1,2,obj3,463.9220858302282,369.82113797984937
Balance,3,0,11,obj1,172.51086151265233,237.5073067441893
Balance,3,1,11,obj2,193.62696924113428,122.42799680370119
Balance,3,2,11,obj3,215.2262406017053,15.0
Balance,3,3,11,obj3,290.4614698928527,338.52924292205154
Balance,3,4,11,obj2,208.40386637540817,67.48634574897386
Balance,3,5,11,obj1,440.14438862045984,102.02492652513422
Balance,3,6,11,obj1,461.9899630884005,255.75
Balance,3,7,11,obj3,226.3740853105864,160.32716675153668
Balance,3,8,11,obj1,221.7147382128437,50.81234357019497
Balance,3,9,11,obj1,205.52035959075766,375.96633150410867
Balance,3,10,11,obj2,459.82258285638494,161.53253443839512
Balance,4,0,11,obj2,202.51086151265233,246.505344597694
Balance,4,1,11,obj2,420.525501051669,208.1231707049041
Balance,4,2,11,obj1,201.8906262115527,219.27638367105618
Balance,4,3,11,obj2,179.44825469766135,139.77733456230422
Balance,4,4,11,obj3,229.3382424707636,238.74547499023254
Balance,4,5,11,obj1,221.8782034196359,206.0615063723199
Balance,4,6,11,obj1,485.60803329634734,226.7433216000144
Balance,4,7,11,obj3,182.9872365138388,261.06116212229114
Balance,4,8,11,obj1,216.09650881307056,187.85603703024304
Balance,4,9,11,obj3,344.2102108196582,330.4274667462691
Balance,4,10,11,obj1,205.03833938801597,124.59061088910359
Balance,5,0,11,obj3,222.32948288088943,369.47126517097644
Balance,5,1,11,obj3,226.58916763737477,176.72237895833308
Balance,5,2,11,obj1,335.471728943785,390.1494483021991
Balance,5,3,11,obj2,172.22924146333682,194.4751492626743
Balance,5,4,11,obj3,222.5928578509851,48.74518896770042
Balance,5,5,11,obj3,219.48986981475247,405.536132400354
Balance,5,6,11,obj3,241.00329700843258,251.71603891322502
Balance,5,7,11,obj1,210.1609410473893,367.824509885941
Balance,5,8,11,obj3,270.82400299917566,184.61996875659844
Balance,5,9,11,obj1,217.7670303087372,34.25
Balance,5,10,11,obj1,405.4669486889522,34.67937795684995
Balance,6,0,11,obj2,223.46531385793145,41.5
Balance,6,1,11,obj1,428.44301914467536,241.9225868654792
Balance,6,2,11,obj2,413.5043864329037,237.2139760064936
Balance,6,3,11,obj1,216.0830833034916,81.32904856567023
Balance,6,4,11,obj1,189.7801476612474,34.25
Balance,6,5,11,obj1,160.85648919437392,193.76584903511426
Balance,6,6,11,obj3,209.46260615232933,236.9088281186152
Balance,6,7,11,obj2,291.74218237031465,368.6564492328756
Balance,6,8,11,obj1,265.8524749525341,34.25
Balance,6,9,11,obj2,485.52297209342385,377.4906904295423
Balance,6,10,11,obj2,224.72911679863842,181.1405946418284
Balance,7,0,7,obj3,314.9327757175668,15.0
Balance,7,1,7,obj2,392.92234641105665,216.4848683191214
Balance,7,2,7,obj2,212.7868346902336,199.75914339397568
Balance,7,3,7,obj3,189.7801476612474,15.996553276953307
Balance,7,4,7,obj2,222.22924146333682,41.5
Balance,7,5,7,obj2,258.382356911558,147.73112634542764
Balance,7,6,7,obj3,476.50263068258613,369.5440395775389
Balance,8,0,8,obj1,202.31127016763725,383.13236111716765
Balance,8,1,8,obj2,213.06589468783963,218.91348184006281
Balance,8,2,8,obj1,458.2464824099407,382.93553143265956
Balance,8,3,8,obj1,206.95803348282027,34.25
Balance,8,4,8,obj3,205.0622035602561,411.5666968086685
Balance,8,5,8,obj1,202.7606751061973,147.37276393317836
Balance,8,6,8,obj2,195.60803329634743,65.32310835027266
Balance,8,7,8,obj3,465.2170431618047,346.0304769607999
Balance,9,0,11,obj3,266.63205196998473,176.95364955037064
Balance,9,1,11,obj1,475.8063536435607,34.25
Balance,9,2,11,obj3,262.32284745242384,15.0
Balance,9,3,11,obj2,450.95812242198747,133.2542650002321
Balance,9,4,11,obj1,274.1141022053131,229.2706695199477
Balance,9,5,11,obj3,147.99312292302508,173.93499849513069
Balance,9,6,11,obj2,452.51488389223175,248.5
Balance,9,7,11,obj3,225.984007350947,198.94191621633743
Balance,9,8,11,obj1,465.10912918206697,34.25
Balance,9,9,11,obj1,215.97140270579303,189.91219144913836
Balance,9,10,11,obj1,214.4838256257119,74.24397624517094
Shove,0,0,3,obj2,481.62424211742444,276.82570947065653
Shove,0,1,3,obj3,357.1482351430254,226.70704424514872
Shove,0,2,3,obj2,350.27891644114334,113.49031691503963
Shove,1,0,1,obj2,398.16315958394273,444.993184649263
Shove,2,0,1,obj1,406.9853276200891,177.58549298680884
Shove,3,0,3,obj2,349.8425514039385,408.96260057633856
Shove,3,1,3,obj2,519.6060320054863,403.5629756968354
Shove,3,2,3,obj1,377.42784691096705,217.64383661252225
Shove,4,0,1,obj1,368.11234934749746,277.9379409358052
Shove,5,0,1,obj1,416.5935483139468,120.20369744090843
Shove,6,0,1,obj1,382.5892148646409,438.16182885761305
Shove,7,0,1,obj1,414.8579952008522,316.00067034807097
Shove,8,0,4,obj2,493.7252669823623,366.4583364934468
Shove,8,1,4,obj3,499.7771149534078,74.5928904714032
Shove,8,2,4,obj3,353.66571330455184,423.70638808128126
Shove,8,3,4,obj1,368.54835815602206,172.41977488742253
Shove,9,0,2,obj3,320.842349617099,394.14376146822656
Shove,9,1,2,obj1,389.8534698331376,447.237213296012
Remove,0,0,7,obj1,36.853548846950325,509.1926558543153
Remove,0,1,7,obj3,365.8226884103736,440.0833871655819
Remove,0,2,7,obj1,38.526971636725406,549.5016717111076
Remove,0,3,7,obj3,342.65734804317384,199.388980741676
