Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Balance,0,0,11,obj1,255.0,375.0
Balance,0,1,11,obj2,75.0,165.0
Balance,0,2,11,obj3,255.0,375.0
Balance,0,3,11,obj1,411.9162,208.65323
Balance,0,4,11,obj2,255.0,375.0
Balance,0,5,11,obj2,411.9162,208.65323
Balance,0,6,11,obj3,75.0,165.0
Balance,0,7,11,obj3,495.0,225.0
Balance,0,8,11,obj2,495.0,225.0
Balance,0,9,11,obj1,495.0,225.0
Balance,0,10,11,obj3,75.0,255.0
Balance,1,0,11,obj1,255.0,375.0
Balance,1,1,11,obj2,255.0,375.0
Balance,1,2,11,obj3,255.0,375.0
Balance,1,3,11,obj1,411.9162,208.65323999999998
Balance,1,4,11,obj3,495.0,225.0
Balance,1,5,11,obj3,399.75302,196.69312
Balance,1,6,11,obj2,399.75302,196.69312
Balance,1,7,11,obj1,399.75302,196.69312
Balance,1,8,11,obj3,253.51117999999997,188.44331
Balance,1,9,11,obj1,253.51117999999997,188.44331
Balance,1,10,11,obj2,75.0,165.0
Balance,2,0,11,obj1,255.0,375.0
Balance,2,1,11,obj3,495.0,225.0
Balance,2,2,11,obj3,255.0,375.0
Balance,2,3,11,obj3,75.0,255.0
Balance,2,4,11,obj2,255.0,375.0
Balance,2,5,11,obj2,75.0,255.0
Balance,2,6,11,obj3,442.7734,15.392570999999998
Balance,2,7,11,obj2,495.0,225.0
Balance,2,8,11,obj2,75.0,165.0
Balance,2,9,11,obj3,75.0,165.0
Balance,2,10,11,obj1,399.16168,78.15245
Balance,3,0,11,obj1,255.0,375.0
Balance,3,1,11,obj3,255.0,375.0
Balance,3,2,11,obj2,255.0,375.0
Balance,3,3,11,obj3,495.0,225.0
Balance,3,4,11,obj2,495.0,225.0
Balance,3,5,11,obj3,206.74231,181.08401
Balance,3,6,11,obj2,206.74231,181.08401
Balance,3,7,11,obj1,206.74231,181.08401
Balance,3,8,11,obj2,549.44714,247.67042999999998
Balance,3,9,11,obj3,549.44714,247.67042999999998
Balance,3,10,11,obj2,208.03307,64.30378
Balance,4,0,11,obj1,255.0,375.0
Balance,4,1,11,obj2,255.0,375.0
Balance,4,2,11,obj3,75.0,255.0
Balance,4,3,11,obj3,495.0,225.0
Balance,4,4,11,obj3,480.2819,131.7283
Balance,4,5,11,obj2,480.2819,131.7283
Balance,4,6,11,obj2,75.0,165.0
Balance,4,7,11,obj1,75.0,165.0
Balance,4,8,11,obj3,253.51117999999997,188.44331
Balance,4,9,11,obj1,253.51117999999997,188.44331
Balance,4,10,11,obj2,529.8981,295.8656
Balance,5,0,11,obj1,255.0,375.0
Balance,5,1,11,obj2,255.0,375.0
Balance,5,2,11,obj3,75.0,255.0
Balance,5,3,11,obj2,75.0,255.0
Balance,5,4,11,obj1,75.0,255.0
Balance,5,5,11,obj2,556.5764,255.51912000000002
Balance,5,6,11,obj3,556.5764,255.51912000000002
Balance,5,7,11,obj3,224.28311000000002,176.90236000000002
Balance,5,8,11,obj1,224.28311000000002,176.90236000000002
Balance,5,9,11,obj3,437.21487,381.18027
Balance,5,10,11,obj2,224.28311000000002,176.90236000000002
Balance,6,0,11,obj1,255.0,375.0
Balance,6,1,11,obj3,255.0,375.0
Balance,6,2,11,obj3,495.0,225.0
Balance,6,3,11,obj1,495.0,225.0
Balance,6,4,11,obj1,422.18645999999995,32.286429999999996
Balance,6,5,11,obj2,495.0,225.0
Balance,6,6,11,obj3,75.0,255.0
Balance,6,7,11,obj2,75.0,255.0
