Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Balance,0,0,7,obj1,181.89066947285968,85.70944041403754
Balance,0,1,7,obj3,450.4258320604848,337.2556395726869
Balance,0,2,7,obj2,181.89066947285968,85.70944041403754
Balance,0,3,7,obj2,207.2697748699326,156.18371640481968
Balance,0,4,7,obj1,207.2697748699326,156.18371640481968
Balance,0,5,7,obj1,201.66827632225468,34.25
Balance,0,6,7,obj3,470.75577000000004,387.6444
Balance,1,0,11,obj1,212.8544205080328,34.25
Balance,1,1,11,obj2,189.9393674629411,180.1582756951717
Balance,1,2,11,obj1,189.9393674629411,180.1582756951717
Balance,1,3,11,obj2,189.9393674629411,180.1582756951717
Balance,1,4,11,obj2,177.09152,214.86900000000003
Balance,1,5,11,obj1,210.22817005907726,213.56449373357484
Balance,1,6,11,obj1,183.57748,161.40967
Balance,1,7,11,obj2,183.57748,161.40967
Balance,1,8,11,obj2,184.90537891045457,75.3359616390044
Balance,1,9,11,obj1,184.90537891045457,75.3359616390044
Balance,1,10,11,obj2,184.90537891045457,75.3359616390044
Balance,2,0,4,obj1,210.03336732637985,218.06371622511517
Balance,2,1,4,obj2,210.03336732637985,218.06371622511517
Balance,2,2,4,obj1,210.03336732637985,218.06371622511517
Balance,2,3,4,obj3,480.70135,358.55800000000005
Balance,3,0,3,obj2,175.0937574611199,230.9183437447026
Balance,3,1,3,obj2,187.06345658512672,143.4261552182086
Balance,3,2,3,obj3,456.4579,322.82272
Balance,4,0,11,obj1,195.2723477232787,93.84517626373291
Balance,4,1,11,obj1,225.12697000000003,167.48183
Balance,4,2,11,obj1,204.68323608099575,34.25
Balance,4,3,11,obj2,195.2723477232787,93.84517626373291
Balance,4,4,11,obj1,195.2723477232787,93.84517626373291
Balance,4,5,11,obj1,206.63631999999998,179.05354
Balance,4,6,11,obj2,206.63631999999998,179.05354
Balance,4,7,11,obj1,208.7199283067553,34.25
Balance,4,8,11,obj1,209.21211588987074,171.56453717106515
Balance,4,9,11,obj1,210.7933957589896,195.59324797119905
Balance,4,10,11,obj2,210.7933957589896,195.59324797119905
Balance,5,0,11,obj2,187.06345658512672,41.5
Balance,5,1,11,obj1,187.06345658512672,41.5
Balance,5,2,11,obj1,203.43797,183.41313
Balance,5,3,11,obj2,187.06345658512672,41.5
Balance,5,4,11,obj1,210.07321772833473,102.03579689330708
Balance,5,5,11,obj1,177.89913360578282,234.61380304110781
Balance,5,6,11,obj2,177.89913360578282,234.61380304110781
Balance,5,7,11,obj1,206.17195,202.62996
Balance,5,8,11,obj1,184.34618,193.90851
Balance,5,9,11,obj1,195.53433,200.84796
Balance,5,10,11,obj1,181.9396,164.08153000000001
Balance,6,0,11,obj2,211.89066947285968,114.71123299756144
Balance,6,1,11,obj2,185.91792,232.6622
Balance,6,2,11,obj1,185.91792,232.6622
Balance,6,3,11,obj1,348.96967,335.08643
Balance,6,4,11,obj2,190.0937574611199,228.22726811703117
Balance,6,5,11,obj1,190.0937574611199,228.22726811703117
Balance,6,6,11,obj2,190.0937574611199,228.22726811703117
Balance,6,7,11,obj1,211.89066947285968,114.71123299756144
Balance,6,8,11,obj1,216.42863240824371,204.516774850499
Balance,6,9,11,obj1,227.61340804319312,192.15831432319698
Balance,6,10,11,obj3,431.1634226692282,373.88723097383814
Balance,7,0,6,obj1,193.93033556738513,255.75
Balance,7,1,6,obj1,206.15624129007495,221.34972760745856
Balance,7,2,6,obj1,232.88571000000002,364.02988
Balance,7,3,6,obj1,200.20445028255642,172.1475058287279
Balance,7,4,6,obj2,344.42831135312827,364.8306971377726
Balance,7,5,6,obj2,211.45391694419519,87.18848452509073
Balance,8,0,11,obj1,206.44303107589317,127.0373609397599
Balance,8,1,11,obj2,189.84285029544586,41.5
Balance,8,2,11,obj1,189.84285029544586,41.5
Balance,8,3,11,obj2,189.84285029544586,41.5
Balance,8,4,11,obj2,206.44303107589317,127.0373609397599
Balance,8,5,11,obj1,224.10610792185398,172.35170759782804
Balance,8,6,11,obj1,200.91409425726638,95.52093972322592
Balance,8,7,11,obj1,206.44303107589317,127.0373609397599
Balance,8,8,11,obj1,209.3454900113389,255.75
Balance,8,9,11,obj1,220.12625285098812,168.54610287763447
Balance,8,10,11,obj3,448.70688066427107,313.95146258468856
Balance,9,0,11,obj2,181.00963275527562,167.5331305848551
Balance,9,1,11,obj1,181.00963275527562,167.5331305848551
Balance,9,2,11,obj1,348.47046,335.0978
Balance,9,3,11,obj1,219.02916954850537,235.74213742679927
Balance,9,4,11,obj2,191.3080449669769,79.98132119769957
Balance,9,5,11,obj1,191.3080449669769,79.98132119769957
Balance,9,6,11,obj1,193.0741258903787,190.19929744588046
Balance,9,7,11,obj1,189.63998,258.0284
Balance,9,8,11,obj1,197.81228459469375,53.432173707232806
Balance,9,9,11,obj2,212.79835213899383,41.5
Balance,9,10,11,obj2,191.3080449669769,79.98132119769957
Shove,0,0,1,obj1,350.2740086841811,455.95224451404727
Shove,1,0,1,obj1,361.12402000000003,231.19519
Shove,2,0,1,obj1,363.78518464242086,379.0822238337136
Shove,3,0,1,obj1,337.7134465828448,157.5461016789342
Shove,4,0,1,obj1,351.5701051705793,269.53101078871157
Shove,5,0,1,obj1,368.0899795711212,399.119405862793
Shove,6,0,1,obj1,343.0828,248.44283
Shove,7,0,1,obj1,364.2839384611464,108.70951333006936
Shove,8,0,1,obj1,381.1989544965234,475.4554066375232
Shove,9,0,1,obj1,413.7152088255463,350.1442951886428
Spiky,0,0,11,obj1,206.6358647623959,541.567702312715
Spiky,0,1,11,obj2,185.01649658784848,497.4524800776263
Spiky,0,2,11,obj1,185.01649658784848,497.4524800776263
Spiky,0,3,11,obj3,195.95023523355403,405.3509520474984
Spiky,0,4,11,obj2,195.95023523355403,405.3509520474984
Spiky,0,5,11,obj2,192.85975437978308,406.51660825374785
Spiky,0,6,11,obj2,185.7747301524733,547.9498047722848
Spiky,0,7,11,obj1,185.7747301524733,547.9498047722848
Spiky,0,8,11,obj3,195.95023523355403,405.3509520474984
Spiky,0,9,11,obj2,185.7747301524733,547.9498047722848
Spiky,0,10,11,obj2,188.2074787074526,517.7250665006172
Spiky,1,0,11,obj2,197.7760940432444,428.4790845631746
Spiky,1,1,11,obj1,197.7760940432444,428.4790845631746
Spiky,1,2,11,obj3,197.7760940432444,428.4790845631746
Spiky,1,3,11,obj1,154.4878796504128,399.44415753699724
Spiky,1,4,11,obj2,136.33606594241905,541.82287852481
Spiky,1,5,11,obj2,197.7760940432444,428.4790845631746
Spiky,1,6,11,obj1,203.65463290118595,398.9168267206003
Spiky,1,7,11,obj3,195.13197811090697,569.0558413175991
Spiky,1,8,11,obj2,205.29536991093156,446.24806794945516
Spiky,1,9,11,obj1,205.29536991093156,446.24806794945516
Spiky,1,10,11,obj1,170.77574028248722,398.431827450555
Spiky,2,0,11,obj2,166.15592335819213,399.60052433893804
Spiky,2,1,11,obj1,202.60431432642503,383.88040863537293
Spiky,2,2,11,obj2,181.48164243011684,398.5629214790974
Spiky,2,3,11,obj3,188.4691739754244,529.2518003116343
Spiky,2,4,11,obj2,188.4691739754244,529.2518003116343
Spiky,2,5,11,obj3,189.0750699928409,576.8710485129749
Spiky,2,6,11,obj2,192.88253109751227,509.76713675373963
Spiky,2,7,11,obj1,189.0750699928409,576.8710485129749
Spiky,2,8,11,obj3,189.0750699928409,576.8710485129749
Spiky,2,9,11,obj2,196.87952976556582,544.0371888813459
Spiky,2,10,11,obj3,196.87952976556582,544.0371888813459
Spiky,3,0,11,obj1,203.4241436481537,528.5113942457116
Spiky,3,1,11,obj2,180.09293413080232,409.9306690253506
Spiky,3,2,11,obj2,182.3097614904681,533.8869769589476
Spiky,3,3,11,obj1,182.3097614904681,533.8869769589476
Spiky,3,4,11,obj2,195.26492221284556,419.28502551328796
Spiky,3,5,11,obj2,195.29622118589057,523.6002681842764
Spiky,3,6,11,obj3,199.26808794770625,556.6116564279697
Spiky,3,7,11,obj2,199.26808794770625,556.6116564279697
Spiky,3,8,11,obj3,199.26808794770625,556.6116564279697
Spiky,3,9,11,obj1,203.51315788163362,384.94090050262037
Spiky,3,10,11,obj2,192.8218286240779,536.2936735914354
Spiky,4,0,11,obj3,190.8780276339981,409.61991344208394
Spiky,4,1,11,obj2,190.8780276339981,409.61991344208394
Spiky,4,2,11,obj3,190.8780276339981,409.61991344208394
Spiky,4,3,11,obj1,182.4539293476948,490.16528455664184
Spiky,4,4,11,obj1,195.5163046338163,459.3343351025122
Spiky,4,5,11,obj3,195.5163046338163,459.3343351025122
Spiky,4,6,11,obj2,177.69761761452398,534.5175405729038
Spiky,4,7,11,obj2,195.5163046338163,459.3343351025122
Spiky,4,8,11,obj1,188.55545683738998,426.01682417575597
Spiky,4,9,11,obj3,197.9336198271746,434.56759034367064
Spiky,4,10,11,obj1,196.01531213110766,512.4672335802194
Spiky,5,0,10,obj2,192.15592335819213,415.4060021772231
Spiky,5,1,10,obj2,204.00301111099796,547.6983366019178
Spiky,5,2,10,obj1,204.00301111099796,547.6983366019178
Spiky,5,3,10,obj2,202.05337969363916,567.7407023029938
Spiky,5,4,10,obj3,201.1748805794153,565.9256958584162
Spiky,5,5,10,obj2,201.1748805794153,565.9256958584162
Spiky,5,6,10,obj2,186.5304360408062,540.0587523290637
Spiky,5,7,10,obj3,201.1748805794153,565.9256958584162
Spiky,5,8,10,obj1,186.43510561220901,571.3490192457023
Spiky,5,9,10,obj3,160.92762848019504,517.1174580880706
Spiky,6,0,11,obj2,194.9431172602327,398.953004595642
Spiky,6,1,11,obj3,194.9431172602327,398.953004595642
Spiky,6,2,11,obj2,193.85299430891288,546.504065538254
Spiky,6,3,11,obj2,194.9431172602327,398.953004595642
Spiky,6,4,11,obj3,201.15507000392705,528.1254224234143
Spiky,6,5,11,obj1,201.15507000392705,528.1254224234143
Spiky,6,6,11,obj2,187.07146517314732,517.1363451100368
Spiky,6,7,11,obj3,193.85299430891288,546.504065538254
Spiky,6,8,11,obj2,193.85299430891288,546.504065538254
Spiky,6,9,11,obj2,182.36144566169625,535.5471871461638
Spiky,6,10,11,obj2,175.21343377591126,536.7782668128007
Spiky,7,0,11,obj2,192.48125540044515,437.2239405963266
Spiky,7,1,11,obj2,196.3393275732124,551.4746240848095
Spiky,7,2,11,obj2,194.77350269527847,413.41123517103495
Spiky,7,3,11,obj3,196.3393275732124,551.4746240848095
Spiky,7,4,11,obj2,196.3393275732124,551.4746240848095
Spiky,7,5,11,obj3,197.92799338155172,522.4564058638737
Spiky,7,6,11,obj3,192.48125540044515,437.2239405963266
Spiky,7,7,11,obj2,192.48125540044515,437.2239405963266
Spiky,7,8,11,obj2,198.69620368742093,517.0714038418265
Spiky,7,9,11,obj2,190.41423747280572,564.3228749782483
Spiky,7,10,11,obj3,190.41423747280572,564.3228749782483
Spiky,8,0,11,obj2,197.2223027895182,406.5676292174378
Spiky,8,1,11,obj1,189.48356111724635,573.8781422397474
Spiky,8,2,11,obj3,189.48356111724635,573.8781422397474
Spiky,8,3,11,obj2,195.7750492695512,545.0227928388143
Spiky,8,4,11,obj3,188.92841086258542,396.8488294575644
Spiky,8,5,11,obj2,188.92841086258542,396.8488294575644
Spiky,8,6,11,obj2,195.356928462982,411.7917805933049
Spiky,8,7,11,obj2,192.1211588069529,515.8794996296052
Spiky,8,8,11,obj1,189.48356111724635,573.8781422397474
Spiky,8,9,11,obj3,195.356928462982,411.7917805933049
Spiky,8,10,11,obj1,184.7861517914409,467.8931032832008
Spiky,9,0,11,obj2,173.00380880596734,401.1475644806987
Spiky,9,1,11,obj3,202.94122981742558,582.4275857049821
Spiky,9,2,11,obj2,199.2220530242298,422.47464487146266
Spiky,9,3,11,obj3,199.2220530242298,422.47464487146266
Spiky,9,4,11,obj1,199.2220530242298,422.47464487146266
Spiky,9,5,11,obj1,189.93245561234318,455.3542933969391
Spiky,9,6,11,obj3,164.5151374895157,508.96315554685964
Spiky,9,7,11,obj2,190.99134394513592,541.5673448383251
Spiky,9,8,11,obj2,193.60307424564897,413.42163646191045
Spiky,9,9,11,obj3,170.4079810614368,543.8564635627874
Spiky,9,10,11,obj2,186.11031742271987,547.0623332989596
Collapse,0,0,1,obj2,332.8283,273.3561
Collapse,1,0,1,obj2,356.44568,343.8014
Collapse,2,0,3,obj1,273.645313217125,371.5654418882479
Collapse,2,1,3,obj2,332.67044,365.63852
Collapse,2,2,3,obj1,434.3912715097762,310.0143340134032
Collapse,3,0,1,obj2,299.86337004633185,299.8548611642397
Collapse,4,0,1,obj2,354.6439,343.8013
Collapse,5,0,2,obj2,325.06625043902727,344.26904340916445
Collapse,5,1,2,obj2,312.66782,306.86642
Collapse,6,0,1,obj2,376.9003,298.28937
Collapse,7,0,1,obj1,207.60109,391.5882
Collapse,8,0,1,obj2,332.8287,273.35962
Collapse,9,0,1,obj3,286.7152377261664,341.59750926958117
Shove,10,0,2,obj2,367.6549344920868,417.31280233017753
Shove,10,1,2,obj1,364.8929299396292,334.8128012873816
Shove,11,0,1,obj2,472.12094842716806,251.29997586078
Shove,12,0,1,obj1,381.8345664123538,500.75
Shove,13,0,1,obj1,354.4163320602569,223.42763678283416
Shove,14,0,1,obj1,385.96227453109816,122.19407025893798
Shove,15,0,2,obj2,386.8929768785362,415.3625566541425
Shove,15,1,2,obj1,386.8929768785362,415.3625566541425
Shove,16,0,1,obj1,376.1447198355694,358.8295925416901
Shove,17,0,1,obj1,376.6261433557847,459.88706932306616
Shove,18,0,1,obj1,359.58630330236764,203.9455009525041
Shove,19,0,1,obj1,357.08263999999997,278.5907
Collapse,10,0,1,obj2,287.577327745901,298.8092519579089
Collapse,11,0,1,obj1,346.8623208584604,374.069706803019
Collapse,12,0,1,obj3,344.03199334732733,255.13921729677085
Collapse,13,0,1,obj3,330.66245,268.61752
Collapse,14,0,1,obj3,341.1725,250.65894
Collapse,15,0,1,obj1,341.2333396914751,467.275429396412
Collapse,16,0,1,obj1,304.1585738407815,392.6526965301252
Collapse,17,0,1,obj2,296.6093797877241,351.29441524547576
Collapse,18,0,2,obj1,236.31796921273536,381.87581924647117
Collapse,18,1,2,obj2,389.0987219847177,527.0036558249864
Collapse,19,0,1,obj3,348.5774788262897,277.1594585728004
Spiky,10,0,11,obj1,186.63386037546346,449.70268729209846
Spiky,10,1,11,obj3,193.28594012809296,432.7260204470119
Spiky,10,2,11,obj2,193.28594012809296,432.7260204470119
Spiky,10,3,11,obj1,191.27333857243062,504.81957762379983
Spiky,10,4,11,obj2,191.27333857243062,504.81957762379983
Spiky,10,5,11,obj1,191.27333857243062,504.81957762379983
Spiky,10,6,11,obj3,190.24495575507962,398.37043141345987
Spiky,10,7,11,obj2,190.24495575507962,398.37043141345987
Spiky,10,8,11,obj3,190.24495575507962,398.37043141345987
Spiky,10,9,11,obj2,204.64724809123928,442.82293267896455
Spiky,10,10,11,obj3,196.89114955868308,502.6079565925925
Spiky,11,0,9,obj2,178.55205599514943,557.082259992235
