ID,Trial,AttemptNum,Tool,PosX,PosY,Time,SuccessTrial,TrialOrder,SuccessPlace
Subj_1,Shafts_B,0,obj1,94.0,558.0,16669,True,10,False
Subj_1,Table_A,20,obj1,368.0,225.0,124468,False,14,False
Subj_1,SeeSaw,6,obj1,356.0,170.0,44776,False,4,False
Subj_1,SeeSaw,20,obj1,350.0,300.0,119297,False,4,False
Subj_1,SeeSaw,21,obj1,362.0,201.0,124801,False,4,False
Subj_1,Bridge,2,obj3,335.0,353.0,15928,False,5,False
Subj_1,SeeSaw,19,obj1,336.0,331.0,114768,False,4,False
Subj_1,Shafts_B,1,obj2,90.0,572.0,20721,True,10,False
Subj_1,Shafts_B,2,obj3,84.0,567.0,27481,True,10,False
Subj_1,Shafts_B,3,obj3,66.0,574.0,33718,True,10,False
Subj_1,Towers_B,0,obj1,303.0,548.0,3739,True,16,False
Subj_1,SeeSaw,16,obj1,357.0,257.0,100916,False,4,False
Subj_1,SeeSaw,17,obj1,407.0,342.0,105239,False,4,False
Subj_1,SeeSaw,18,obj1,379.0,309.0,110025,False,4,False
Subj_1,Table_A,19,obj1,403.0,258.0,119705,False,14,False
Subj_1,Bridge,3,obj1,420.0,249.0,20930,False,5,False
Subj_1,Chaining,0,obj1,567.0,335.0,8033,True,3,False
Subj_1,Chaining,1,obj3,73.0,476.0,15722,True,3,False
Subj_1,Towers_B,1,obj2,304.0,548.0,8178,True,16,False
Subj_1,SeeSaw,14,obj1,399.0,232.0,89733,False,4,False
Subj_1,SeeSaw,15,obj1,369.0,196.0,94897,False,4,False
Subj_1,Unsupport,1,obj1,54.0,562.0,10176,True,8,True
Subj_1,Bridge,0,obj1,541.0,550.0,5472,False,5,False
Subj_1,Bridge,1,obj2,310.0,504.0,10713,False,5,False
Subj_1,Catapult,6,obj2,409.0,541.0,30881,True,7,True
Subj_1,Falling_A,2,obj2,377.0,456.0,16949,True,15,False
Subj_1,Falling_A,3,obj2,356.0,489.0,22305,True,15,False
Subj_1,Falling_A,4,obj1,377.0,488.0,27754,True,15,False
Subj_1,Falling_A,5,obj2,379.0,552.0,32668,True,15,False
Subj_1,Shafts_B,4,obj2,77.0,575.0,42631,True,10,False
Subj_1,Shafts_B,5,obj2,126.0,580.0,49239,True,10,True
Subj_1,SeeSaw,13,obj1,366.0,168.0,85296,False,4,False
Subj_1,Table_A,3,obj2,229.0,546.0,26011,False,14,False
Subj_1,Table_A,4,obj3,232.0,304.0,31093,False,14,False
