Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Falling_A,0,0,1,obj3,281.9267322395553,100.18503826373815
Falling_A,1,0,2,obj1,331.9676709200943,386.2047692373992
Falling_A,1,1,2,obj1,309.0788676306184,149.45442316696986
Falling_A,2,0,2,obj2,240.51323355973625,352.8169296167369
Falling_A,2,1,2,obj2,291.58988167124113,142.2267310447656
Falling_A,3,0,2,obj2,294.09497588693216,375.95976561709574
Falling_A,3,1,2,obj1,307.5679385483205,133.16020598879786
Falling_A,4,0,11,obj1,250.73367222757943,548.0306832897902
Falling_A,4,1,11,obj3,295.4191987639345,376.29736811205566
Falling_A,4,2,11,obj2,253.20749600587052,445.14420170483635
Falling_A,4,3,11,obj2,214.6696014713504,93.67870205409642
Falling_A,4,4,11,obj3,306.55225203570257,486.84985020327116
Falling_A,4,5,11,obj3,307.3029978312638,527.1811045825781
Falling_A,4,6,11,obj2,291.80499746959237,426.2157644950888
Falling_A,4,7,11,obj3,368.8542709096973,497.0221076478328
Falling_A,4,8,11,obj1,271.7546177042214,401.41090304588636
Falling_A,4,9,11,obj1,313.3690213402685,344.3586058552198
Falling_A,4,10,11,obj1,293.4687399824959,101.62276441671291
Falling_A,5,0,2,obj2,307.70622899592763,359.46242152759913
Falling_A,5,1,2,obj2,302.6486289305845,133.99740717304093
Falling_A,6,0,1,obj1,301.89242564907426,140.68871674560108
Falling_A,7,0,2,obj2,235.90007075816268,353.2770568474742
Falling_A,7,1,2,obj1,281.83133337254367,158.45115868080057
Falling_A,8,0,3,obj2,281.9267322395553,496.9526352665141
Falling_A,8,1,3,obj3,347.3549376760032,387.55277686005815
Falling_A,8,2,3,obj2,243.02287805756214,77.7399282302481
Falling_A,9,0,2,obj3,301.1142326471724,86.70656049880601
Falling_A,9,1,2,obj2,271.9531346117244,65.45661107787205
Falling_B,0,0,11,obj1,273.6908146216447,454.9855118108428
Falling_B,0,1,11,obj3,354.33167397558515,367.61804749833
Falling_B,0,2,11,obj1,339.16891771960223,492.4168797900032
Falling_B,0,3,11,obj2,323.7743041540944,521.4387624361372
Falling_B,0,4,11,obj1,292.7349013649776,516.3947341850877
Falling_B,0,5,11,obj3,294.2743493576092,360.69274359296213
Falling_B,0,6,11,obj3,314.4876273557262,363.0572505850159
Falling_B,0,7,11,obj3,299.34483421634104,542.0526037023717
Falling_B,0,8,11,obj1,293.1352308281756,418.6407200131734
Falling_B,0,9,11,obj3,281.68300455568226,414.0054692277452
Falling_B,0,10,11,obj1,306.30861091730117,472.1531409608576
Falling_B,1,0,11,obj3,308.1305230975505,412.1317833585176
Falling_B,1,1,11,obj1,319.9759566149812,366.96848012188525
Falling_B,1,2,11,obj3,261.3518595780905,548.7205297590361
Falling_B,1,3,11,obj3,275.16149282035093,514.1225792240414
Falling_B,1,4,11,obj2,298.5097365830461,516.3144511052362
Falling_B,1,5,11,obj1,261.69732617477814,524.6019738934182
Falling_B,1,6,11,obj3,357.62690411863144,500.0521739284585
Falling_B,1,7,11,obj2,294.0350166571259,408.5112507730981
Falling_B,1,8,11,obj3,290.0350903515872,385.1138675635463
Falling_B,1,9,11,obj2,312.4075179390955,481.6160124449482
Falling_B,1,10,11,obj1,290.3432744454475,429.47639978648834
Falling_B,2,0,1,obj2,230.43820337942785,533.7714392272394
Falling_B,3,0,11,obj1,287.6003599555198,346.6972661737921
Falling_B,3,1,11,obj3,307.5133309785852,521.4621934903182
Falling_B,3,2,11,obj2,265.60011773614855,346.96055739170646
Falling_B,3,3,11,obj2,241.4201732220667,473.1377276842244
Falling_B,3,4,11,obj2,312.165654707102,415.9837630475783
Falling_B,3,5,11,obj1,347.9782582318393,423.32941637365417
Falling_B,3,6,11,obj3,254.80260920248867,467.157893197632
Falling_B,3,7,11,obj1,277.2140367393763,419.0387894740129
Falling_B,3,8,11,obj3,291.32906090258143,357.88423977522865
Falling_B,3,9,11,obj1,307.96629798436106,383.7426010718431
Falling_B,3,10,11,obj2,264.34656168454325,422.11665206399687
Falling_B,4,0,11,obj1,308.2462491204095,351.7786097852045
Falling_B,4,1,11,obj3,286.42291780824087,352.42431476841443
Falling_B,4,2,11,obj2,298.6039479063747,456.9033751051197
Falling_B,4,3,11,obj3,258.1897751163575,562.8530825565483
Falling_B,4,4,11,obj3,297.7150874221303,434.73698361624037
Falling_B,4,5,11,obj3,269.1486694224329,529.7734555438145
Falling_B,4,6,11,obj2,286.28659379801417,412.5211388130677
Falling_B,4,7,11,obj2,357.38316340880084,463.06209153898834
Falling_B,4,8,11,obj3,307.3434097362038,407.26850910813135
Falling_B,4,9,11,obj3,317.24787214824414,512.723784681149
Falling_B,4,10,11,obj3,355.3273427996305,485.1225177902639
Falling_B,5,0,7,obj2,316.42089910503233,390.4696608774261
Falling_B,5,1,7,obj2,302.04562932142437,493.3897825508094
Falling_B,5,2,7,obj1,311.99004818351455,340.90038952726763
Falling_B,5,3,7,obj1,321.0705058598228,421.87186957351446
Falling_B,5,4,7,obj2,273.70384972456185,363.7870559907277
Falling_B,5,5,7,obj3,253.0204582448481,392.5754433166169
Falling_B,5,6,7,obj2,226.7423932579099,548.7931207187229
Falling_B,6,0,11,obj2,286.5555517315087,543.0197729913876
Falling_B,6,1,11,obj1,312.7873731579897,400.88138090051353
Falling_B,6,2,11,obj3,219.66808076902825,400.5777318608265
Falling_B,6,3,11,obj1,293.91466648430537,403.1545619691368
Falling_B,6,4,11,obj2,307.3266226514322,523.0646112788398
Falling_B,6,5,11,obj1,230.5520778007076,560.9498210701158
Falling_B,6,6,11,obj2,309.366117582268,378.3181610548803
Falling_B,6,7,11,obj3,280.41343190239127,369.0772060840345
Falling_B,6,8,11,obj1,336.79068675552145,459.8773527649395
Falling_B,6,9,11,obj2,274.20922797101605,367.97769235953484
Falling_B,6,10,11,obj1,300.0183183382872,383.9551656867804
Falling_B,7,0,11,obj1,266.58028714258256,458.0522310698937
Falling_B,7,1,11,obj3,232.070237225342,426.94832665011535
Falling_B,7,2,11,obj2,291.34367283450166,450.0756514577861
Falling_B,7,3,11,obj3,273.9229660943884,420.2024808576858
Falling_B,7,4,11,obj1,273.70384972456185,411.13301172033533
Falling_B,7,5,11,obj1,271.41059819517176,344.2690120235649
Falling_B,7,6,11,obj2,309.39380468004117,383.41233888788355
Falling_B,7,7,11,obj3,272.31572617865686,563.1445793485159
Falling_B,7,8,11,obj2,267.21882269728434,366.47335516454837
Falling_B,7,9,11,obj2,284.1342851972606,423.82254319710967
Falling_B,7,10,11,obj2,293.0337433661045,486.2134370266812
Falling_B,8,0,11,obj2,277.074953651021,347.41195369489066
Falling_B,8,1,11,obj2,313.1698135539864,361.1063234740108
Falling_B,8,2,11,obj3,354.33167397558515,419.98089227549065
Falling_B,8,3,11,obj2,264.62947253774405,458.2879324385512
Falling_B,8,4,11,obj2,292.141929342404,487.5212885724594
Falling_B,8,5,11,obj3,254.44552323145047,453.69141973893187
Falling_B,8,6,11,obj3,368.4207752507234,459.64052434754586
Falling_B,8,7,11,obj3,257.8083528276045,354.79465944295913
Falling_B,8,8,11,obj1,297.73352485245096,399.12295789519465
Falling_B,8,9,11,obj1,310.1837833269816,489.00783938439537
Falling_B,8,10,11,obj1,359.62302326438385,413.7323203426747
Falling_B,9,0,11,obj2,306.21466445873364,357.5380213721419
Falling_B,9,1,11,obj1,313.3728120949012,343.93202894424337
Falling_B,9,2,11,obj3,226.09250680024056,358.2030531331456
Falling_B,9,3,11,obj3,287.6178850571845,352.6258472485881
Falling_B,9,4,11,obj1,245.85557893858365,347.91484011272513
Falling_B,9,5,11,obj1,193.0204582448481,419.159873011095
Falling_B,9,6,11,obj2,303.2403519071874,340.20699958751163
Falling_B,9,7,11,obj3,296.442893455849,392.69094424136176
Falling_B,9,8,11,obj2,321.8056099005066,477.31952631458375
Falling_B,9,9,11,obj3,297.1000355391409,337.7668026845649
Falling_B,9,10,11,obj1,270.29039481666246,444.69314233656405
Chaining,0,0,7,obj1,531.3658508271827,28.0
Chaining,0,1,7,obj1,531.8088997119806,71.50080400739913
Chaining,0,2,7,obj2,537.1422452340544,28.0
Chaining,0,3,7,obj1,68.82672956184604,477.0611464627973
Chaining,0,4,7,obj1,539.8978319702435,28.0
Chaining,0,5,7,obj2,41.107613697591404,548.4903297854239
Chaining,0,6,7,obj2,34.44373724736383,544.8509620609034
Chaining,1,0,11,obj2,49.66639948839529,507.9333984001277
Chaining,1,1,11,obj2,51.390658210601295,517.2711667461115
Chaining,1,2,11,obj2,66.85601506544207,439.8687566499708
Chaining,1,3,11,obj1,535.9217751571599,269.90817524556746
Chaining,1,4,11,obj2,535.8707691085525,537.5517525304891
Chaining,1,5,11,obj1,63.14992875535052,446.13761180256654
Chaining,1,6,11,obj3,526.8440930501876,43.82438872908092
Chaining,1,7,11,obj2,55.47889765848015,392.35673803715883
Chaining,1,8,11,obj2,58.90119061170806,469.3468211643141
Chaining,1,9,11,obj3,521.7947876282475,97.8829266748565
Chaining,1,10,11,obj2,539.7705956529371,315.7883689432714
Chaining,2,0,11,obj1,31.040300539472675,547.5034047585557
Chaining,2,1,11,obj2,537.851543259168,532.1432833118176
Chaining,2,2,11,obj2,539.1997484608635,71.12297462421229
Chaining,2,3,11,obj1,62.91593795433936,483.0052308022205
Chaining,2,4,11,obj1,539.0286906329585,407.15509821183065
Chaining,2,5,11,obj1,532.4067449976133,28.0
Chaining,2,6,11,obj2,533.7388799685666,28.0
Chaining,2,7,11,obj3,523.2477860250489,405.6048622797096
Chaining,2,8,11,obj1,530.2473629216913,28.0
Chaining,2,9,11,obj2,535.7781986249673,358.86516944451637
Chaining,2,10,11,obj1,68.56312176757176,563.0851762043196
Chaining,3,0,11,obj2,535.3088526966967,485.3056728971882
Chaining,3,1,11,obj2,537.5787220542999,28.0
Chaining,3,2,11,obj2,53.273386228285844,395.5535658817962
Chaining,3,3,11,obj2,533.3458269443905,552.8779287086531
Chaining,3,4,11,obj3,520.9842778017817,77.63085868404109
Chaining,3,5,11,obj2,62.2663501284941,399.36764596324053
Chaining,3,6,11,obj3,526.35560593544,390.8517009145559
Chaining,3,7,11,obj1,531.7607528390635,64.54114684291012
Chaining,3,8,11,obj1,69.6837917386576,437.61510221465915
Chaining,3,9,11,obj2,59.44980792046672,458.22326320072
Chaining,3,10,11,obj2,535.2767122050566,28.0
Chaining,4,0,11,obj2,55.15959612714652,459.1431856074151
Chaining,4,1,11,obj1,37.08212557667715,491.11568908079454
Chaining,4,2,11,obj2,66.77217859305593,413.00052798821434
Chaining,4,3,11,obj3,528.2888655945359,423.87252445762624
Chaining,4,4,11,obj3,522.3278794886021,193.3222864057172
Chaining,4,5,11,obj1,43.23590297195183,418.742336840753
Chaining,4,6,11,obj2,45.640799175673074,510.27202373764237
Chaining,4,7,11,obj3,527.7843480112447,224.7622752621331
Chaining,4,8,11,obj2,532.8347864477159,28.0
Chaining,4,9,11,obj3,527.3180594667532,23.0
Chaining,4,10,11,obj2,531.743382194027,28.0
Chaining,5,0,2,obj1,533.9371729580155,290.2637612980926
Chaining,5,1,2,obj1,61.16010793062191,563.0304811060928
Chaining,6,0,11,obj3,526.9451332432851,54.15599787349821
Chaining,6,1,11,obj2,539.6934718358632,255.04708162364528
Chaining,6,2,11,obj1,35.053086579805424,433.4816449318042
Chaining,6,3,11,obj1,538.6000277689167,433.8746215129494
Chaining,6,4,11,obj1,538.3389770742205,28.0
Chaining,6,5,11,obj1,532.0261323247074,73.14095408627932
Chaining,6,6,11,obj3,532.4783535034144,232.06211437850814
Chaining,6,7,11,obj1,536.0878823585678,28.0
Chaining,6,8,11,obj3,531.1617310277728,268.6545939391828
