Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Launch_B,0.0,0.0,1,obj2,45.0,495.0
Launch_B,1.0,0.0,1,obj1,75.0,405.0
Launch_B,2.0,0.0,3,obj1,105.0,495.0
Launch_B,2.0,1.0,3,obj1,135.0,525.0
Launch_B,2.0,2.0,3,obj2,135.0,525.0
Launch_B,3.0,0.0,11,obj3,435.0,555.0
Launch_B,3.0,1.0,11,obj1,435.0,555.0
Launch_B,3.0,2.0,11,obj1,443.50336,421.0071
Launch_B,3.0,3.0,11,obj3,443.50336,421.0071
Launch_B,3.0,4.0,11,obj1,146.57121,443.32052999999996
Launch_B,3.0,5.0,11,obj3,146.57121,443.32052999999996
Launch_B,3.0,6.0,11,obj2,146.57121,443.32052999999996
Launch_B,3.0,7.0,11,obj3,146.57121,443.32052999999996
Launch_B,3.0,8.0,11,obj2,146.57121,443.32052999999996
Launch_B,3.0,9.0,11,obj3,146.57121,443.32052999999996
Launch_B,3.0,10.0,11,obj1,146.57121,443.32052999999996
Launch_B,4.0,0.0,11,obj2,285.0,255.0
Launch_B,4.0,1.0,11,obj1,285.0,255.0
Launch_B,4.0,2.0,11,obj1,555.0,435.0
Launch_B,4.0,3.0,11,obj3,555.0,435.0
Launch_B,4.0,4.0,11,obj2,555.0,435.0
Launch_B,4.0,5.0,11,obj1,350.27246,350.16528
Launch_B,4.0,6.0,11,obj2,350.27246,350.16528
Launch_B,4.0,7.0,11,obj3,350.27246,350.16528
Launch_B,4.0,8.0,11,obj2,350.27246,350.16528
Launch_B,4.0,9.0,11,obj1,350.27246,350.16528
Launch_B,4.0,10.0,11,obj3,53.941227000000005,371.07455
Launch_B,5.0,0.0,11,obj3,555.0,375.0
Launch_B,5.0,1.0,11,obj2,555.0,255.0
Launch_B,5.0,2.0,11,obj3,137.60052,327.55194
Launch_B,5.0,3.0,11,obj2,137.60052,327.55194
Launch_B,5.0,4.0,11,obj1,137.60052,327.55194
Launch_B,5.0,5.0,11,obj2,137.60052,327.55194
Launch_B,5.0,6.0,11,obj2,92.73156999999999,302.0458
Launch_B,5.0,7.0,11,obj1,92.73156999999999,302.0458
Launch_B,5.0,8.0,11,obj2,92.73156999999999,302.0458
Launch_B,5.0,9.0,11,obj1,92.73156999999999,302.0458
Launch_B,5.0,10.0,11,obj2,92.73156999999999,302.0458
Launch_B,6.0,0.0,2,obj3,45.0,435.0
Launch_B,6.0,1.0,2,obj2,45.0,435.0
Launch_B,7.0,0.0,2,obj1,135.0,375.0
Launch_B,7.0,1.0,2,obj2,135.0,375.0
Launch_B,8.0,0.0,11,obj3,435.0,375.0
Launch_B,8.0,1.0,11,obj2,435.0,375.0
Launch_B,8.0,2.0,11,obj3,555.0,315.0
Launch_B,8.0,3.0,11,obj1,555.0,315.0
Launch_B,8.0,4.0,11,obj3,107.69207,256.65057
Launch_B,8.0,5.0,11,obj3,555.0,315.0
Launch_B,8.0,6.0,11,obj2,375.0,195.0
Launch_B,8.0,7.0,11,obj2,315.7031,377.24699999999996
Launch_B,8.0,8.0,11,obj1,315.7031,377.24699999999996
Launch_B,8.0,9.0,11,obj3,315.7031,377.24699999999996
Launch_B,8.0,10.0,11,obj2,315.7031,377.24699999999996
Launch_B,9.0,0.0,1,obj2,45.0,435.0
Bridge,0.0,0.0,11,obj1,105.0,525.0
Bridge,0.0,1.0,11,obj1,315.0,435.0
Bridge,0.0,2.0,11,obj3,315.0,435.0
Bridge,0.0,3.0,11,obj2,480.76874000000004,292.3185
Bridge,0.0,4.0,11,obj3,480.76874000000004,292.3185
Bridge,0.0,5.0,11,obj2,480.76874000000004,292.3185
Bridge,0.0,6.0,11,obj3,480.76874000000004,292.3185
Bridge,0.0,7.0,11,obj2,480.76874000000004,292.3185
Bridge,0.0,8.0,11,obj3,480.76874000000004,292.3185
Bridge,0.0,9.0,11,obj1,384.9454,373.84662000000003
Bridge,0.0,10.0,11,obj3,384.9454,373.84662000000003
Bridge,1.0,0.0,11,obj2,15.0,255.0
Bridge,1.0,1.0,11,obj1,105.0,525.0
Bridge,1.0,2.0,11,obj2,105.0,525.0
Bridge,1.0,3.0,11,obj3,105.0,525.0
Bridge,1.0,4.0,11,obj2,572.1893,427.4407
Bridge,1.0,5.0,11,obj2,559.7562,377.26507999999995
Bridge,1.0,6.0,11,obj1,105.0,525.0
Bridge,1.0,7.0,11,obj3,156.10316,286.24005
Bridge,1.0,8.0,11,obj3,105.0,525.0
Bridge,1.0,9.0,11,obj1,105.0,525.0
Bridge,1.0,10.0,11,obj3,105.0,525.0
Bridge,2.0,0.0,11,obj3,105.0,315.0
Bridge,2.0,1.0,11,obj2,15.0,255.0
Bridge,2.0,2.0,11,obj1,105.0,525.0
Bridge,2.0,3.0,11,obj2,105.0,525.0
Bridge,2.0,4.0,11,obj3,105.0,525.0
Bridge,2.0,5.0,11,obj1,105.0,525.0
Bridge,2.0,6.0,11,obj3,105.0,525.0
Bridge,2.0,7.0,11,obj2,298.41006,373.42746
Bridge,2.0,8.0,11,obj2,105.0,525.0
Bridge,2.0,9.0,11,obj1,105.0,525.0
Bridge,2.0,10.0,11,obj2,105.0,525.0
Bridge,3.0,0.0,11,obj2,255.0,435.0
Bridge,3.0,1.0,11,obj3,105.0,315.0
Bridge,3.0,2.0,11,obj1,105.0,315.0
Bridge,3.0,3.0,11,obj3,105.0,315.0
Bridge,3.0,4.0,11,obj2,541.3204,278.41934
Bridge,3.0,5.0,11,obj2,15.0,255.0
Bridge,3.0,6.0,11,obj3,255.0,435.0
Bridge,3.0,7.0,11,obj1,454.92014000000006,432.4316
Bridge,3.0,8.0,11,obj3,454.92014000000006,432.4316
Bridge,3.0,9.0,11,obj1,384.9454,373.84662000000003
Bridge,3.0,10.0,11,obj3,384.9454,373.84662000000003
Bridge,4.0,0.0,11,obj3,105.0,315.0
Bridge,4.0,1.0,11,obj1,105.0,525.0
Bridge,4.0,2.0,11,obj3,105.0,525.0
Bridge,4.0,3.0,11,obj2,105.0,525.0
Bridge,4.0,4.0,11,obj2,538.21454,365.74722
Bridge,4.0,5.0,11,obj3,538.21454,365.74722
Bridge,4.0,6.0,11,obj3,141.75048999999999,314.39972
Bridge,4.0,7.0,11,obj2,538.21454,365.74722
Bridge,4.0,8.0,11,obj1,538.21454,365.74722
Bridge,4.0,9.0,11,obj2,538.21454,365.74722
Bridge,4.0,10.0,11,obj3,538.21454,365.74722
Bridge,5.0,0.0,11,obj2,15.0,255.0
Bridge,5.0,1.0,11,obj1,315.0,435.0
Bridge,5.0,2.0,11,obj3,315.0,435.0
Bridge,5.0,3.0,11,obj1,315.0,435.0
Bridge,5.0,4.0,11,obj2,557.8833,522.21875
Bridge,5.0,5.0,11,obj1,557.8833,522.21875
Bridge,5.0,6.0,11,obj2,557.8833,522.21875
Bridge,5.0,7.0,11,obj1,557.8833,522.21875
Bridge,5.0,8.0,11,obj2,557.8833,522.21875
Bridge,5.0,9.0,11,obj1,557.8833,522.21875
Bridge,5.0,10.0,11,obj2,585.0078,440.2418
Bridge,6.0,0.0,11,obj3,105.0,315.0
Bridge,6.0,1.0,11,obj2,105.0,315.0
Bridge,6.0,2.0,11,obj1,105.0,315.0
Bridge,6.0,3.0,11,obj3,105.0,315.0
Bridge,6.0,4.0,11,obj2,536.5210599999999,539.9769
Bridge,6.0,5.0,11,obj1,536.5210599999999,539.9769
Bridge,6.0,6.0,11,obj2,572.1369,481.75992
Bridge,6.0,7.0,11,obj3,315.0,255.0
Bridge,6.0,8.0,11,obj1,105.0,525.0
Bridge,6.0,9.0,11,obj2,105.0,525.0
Bridge,6.0,10.0,11,obj2,516.7961,370.2809
Bridge,7.0,0.0,11,obj2,15.0,255.0
Bridge,7.0,1.0,11,obj1,105.0,525.0
Bridge,7.0,2.0,11,obj3,105.0,525.0
Bridge,7.0,3.0,11,obj2,105.0,525.0
Bridge,7.0,4.0,11,obj2,572.0443,432.591
Bridge,7.0,5.0,11,obj2,560.8374,382.8136
Bridge,7.0,6.0,11,obj3,560.8374,382.8136
Bridge,7.0,7.0,11,obj2,560.8374,382.8136
Bridge,7.0,8.0,11,obj3,560.8374,382.8136
Bridge,7.0,9.0,11,obj2,560.8374,382.8136
Bridge,7.0,10.0,11,obj1,560.8374,382.8136
Bridge,8.0,0.0,11,obj1,105.0,525.0
Bridge,8.0,1.0,11,obj3,105.0,525.0
Bridge,8.0,2.0,11,obj1,315.0,435.0
Bridge,8.0,3.0,11,obj2,481.45178,292.1834
Bridge,8.0,4.0,11,obj3,481.45178,292.1834
Bridge,8.0,5.0,11,obj2,481.45178,292.1834
Bridge,8.0,6.0,11,obj3,481.45178,292.1834
Bridge,8.0,7.0,11,obj1,399.33136,331.67163
Bridge,8.0,8.0,11,obj3,399.33136,331.67163
Bridge,8.0,9.0,11,obj1,399.33136,331.67163
Bridge,8.0,10.0,11,obj3,399.33136,331.67163
Bridge,9.0,0.0,11,obj3,315.0,255.0
Bridge,9.0,1.0,11,obj2,15.0,255.0
Bridge,9.0,2.0,11,obj1,105.0,525.0
Bridge,9.0,3.0,11,obj2,105.0,525.0
Bridge,9.0,4.0,11,obj2,534.2710599999999,505.874
Bridge,9.0,5.0,11,obj3,534.2710599999999,505.874
Bridge,9.0,6.0,11,obj2,534.2710599999999,505.874
Bridge,9.0,7.0,11,obj3,534.2710599999999,505.874
Bridge,9.0,8.0,11,obj2,534.2710599999999,505.874
Bridge,9.0,9.0,11,obj3,534.2710599999999,505.874
Bridge,9.0,10.0,11,obj2,534.2710599999999,505.874
Catapult,0.0,0.0,11,obj3,165.0,225.0
Catapult,0.0,1.0,11,obj2,165.0,225.0
Catapult,0.0,2.0,11,obj1,165.0,225.0
Catapult,0.0,3.0,11,obj2,165.0,225.0
Catapult,0.0,4.0,11,obj1,165.0,225.0
Catapult,0.0,5.0,11,obj2,165.0,225.0
Catapult,0.0,6.0,11,obj1,165.0,225.0
Catapult,0.0,7.0,11,obj2,165.0,225.0
Catapult,0.0,8.0,11,obj1,165.0,225.0
Catapult,0.0,9.0,11,obj2,165.0,225.0
Catapult,0.0,10.0,11,obj1,165.0,225.0
Catapult,1.0,0.0,11,obj3,165.0,225.0
Catapult,1.0,1.0,11,obj1,165.0,225.0
Catapult,1.0,2.0,11,obj2,165.0,225.0
Catapult,1.0,3.0,11,obj1,165.0,225.0
Catapult,1.0,4.0,11,obj1,184.43636,185.5204
Catapult,1.0,5.0,11,obj1,164.14346,157.41248000000002
Catapult,1.0,6.0,11,obj2,165.0,225.0
Catapult,1.0,7.0,11,obj1,165.0,225.0
Catapult,1.0,8.0,11,obj2,184.43636,185.5204
Catapult,1.0,9.0,11,obj1,184.43636,185.5204
Catapult,1.0,10.0,11,obj2,184.43636,185.5204
Catapult,2.0,0.0,11,obj3,165.0,225.0
Catapult,2.0,1.0,11,obj1,165.0,225.0
Catapult,2.0,2.0,11,obj2,165.0,225.0
Catapult,2.0,3.0,11,obj1,165.0,225.0
Catapult,2.0,4.0,11,obj1,183.52962,185.37349
Catapult,2.0,5.0,11,obj2,165.0,225.0
Catapult,2.0,6.0,11,obj1,165.0,225.0
Catapult,2.0,7.0,11,obj2,165.0,225.0
Catapult,2.0,8.0,11,obj1,165.0,225.0
Catapult,2.0,9.0,11,obj2,165.0,225.0
Catapult,2.0,10.0,11,obj1,165.0,225.0
Catapult,3.0,0.0,11,obj3,165.0,225.0
Catapult,3.0,1.0,11,obj2,165.0,225.0
Catapult,3.0,2.0,11,obj1,165.0,225.0
Catapult,3.0,3.0,11,obj2,165.0,225.0
