Trial,Idx,AttemptNum,TotalAttempts,Tool,PosX,PosY
Table_B,0.0,0.0,11.0,obj1,201.08616193232183,204.7977017430308
Table_B,0.0,1.0,11.0,obj2,234.93055484004194,177.19950616261994
Table_B,0.0,2.0,11.0,obj3,219.4915624478293,336.55953224207246
Table_B,0.0,3.0,11.0,obj3,159.78023132835503,227.40748908222585
Table_B,0.0,4.0,11.0,obj1,112.07164206253252,385.0923565706983
Table_B,0.0,5.0,11.0,obj3,445.82586181952905,152.27835260721838
Table_B,0.0,6.0,11.0,obj3,249.1980589503584,294.02151907775414
Table_B,0.0,7.0,11.0,obj1,282.7130245703772,57.0
Table_B,0.0,8.0,11.0,obj3,150.52631413916026,372.8523413462567
Table_B,0.0,9.0,11.0,obj2,108.57237378070505,372.1889918495223
Table_B,0.0,10.0,11.0,obj2,415.2427207396563,41.74847446857462
Launch_A,0.0,0.0,6.0,obj2,122.77603769202813,456.579767999396
Launch_A,0.0,1.0,6.0,obj2,121.34276413082554,460.78991851027564
Launch_A,0.0,2.0,6.0,obj3,145.71313450294997,330.75753591043775
Launch_A,0.0,3.0,6.0,obj3,156.4682695387598,326.73165424763334
Launch_A,0.0,4.0,6.0,obj1,103.50902373425205,402.6361924878194
Launch_A,0.0,5.0,6.0,obj2,125.47597896360816,462.1917867662494
Unbox,0.0,0.0,9.0,obj2,128.38629752800256,455.3324467774573
Unbox,0.0,1.0,9.0,obj1,370.4996126509256,390.2374861434996
Unbox,0.0,2.0,9.0,obj1,130.3614781821854,447.83039530952624
Unbox,0.0,3.0,9.0,obj1,418.0644400760323,280.71967354173387
Unbox,0.0,4.0,9.0,obj3,538.5674355229642,412.37171788860564
Unbox,0.0,5.0,9.0,obj3,96.06092200999001,440.72127824457357
Unbox,0.0,6.0,9.0,obj1,134.7808733939098,468.7938166967867
Unbox,0.0,7.0,9.0,obj3,441.53850373858734,523.6308840048994
Unbox,0.0,8.0,9.0,obj1,116.67743918951435,547.0650433570963
Towers_B,0.0,0.0,11.0,obj1,283.94048779070516,536.0116792352042
Towers_B,0.0,1.0,11.0,obj2,284.37478913712005,390.2036264786453
Towers_B,0.0,2.0,11.0,obj3,303.2016918563714,323.42976217622373
Towers_B,0.0,3.0,11.0,obj3,262.46448774293765,214.01928121158662
Towers_B,0.0,4.0,11.0,obj1,328.6492089016728,366.67466156131263
Towers_B,0.0,5.0,11.0,obj3,290.99904069194343,510.91905164675313
Towers_B,0.0,6.0,11.0,obj2,255.1618911568629,287.06574751719995
Towers_B,0.0,7.0,11.0,obj3,343.2833071831819,307.7993027998473
Towers_B,0.0,8.0,11.0,obj1,313.44241704899633,272.9647606049574
Towers_B,0.0,9.0,11.0,obj1,329.6429346226721,458.32671720523115
Towers_B,0.0,10.0,11.0,obj2,275.369026182688,271.99564717134604
Basic,0.0,0.0,1.0,obj3,92.60505535399264,296.2027174861697
Basic,1.0,0.0,2.0,obj1,95.13995926360748,477.76895874586916
Basic,1.0,1.0,2.0,obj1,96.084799379373,479.2354458819712
SeeSaw,0.0,0.0,11.0,obj3,253.31414271533387,23.0
SeeSaw,0.0,1.0,11.0,obj2,333.30283480012616,33.0
SeeSaw,0.0,2.0,11.0,obj1,338.74267091621005,43.0
SeeSaw,0.0,3.0,11.0,obj3,310.741028649868,67.0
SeeSaw,0.0,4.0,11.0,obj2,386.3521530586574,33.0
SeeSaw,0.0,5.0,11.0,obj1,307.12620214671426,203.75250505319528
SeeSaw,0.0,6.0,11.0,obj2,241.27420415899502,256.12479851282785
SeeSaw,0.0,7.0,11.0,obj3,327.8030652127889,23.0
SeeSaw,0.0,8.0,11.0,obj3,287.7648762666044,329.66468623955694
SeeSaw,0.0,9.0,11.0,obj1,292.2011353839278,235.06442902801066
SeeSaw,0.0,10.0,11.0,obj2,384.145681563322,33.0
Towers_B,1.0,0.0,11.0,obj3,278.668464688684,504.14706422406783
Towers_B,1.0,1.0,11.0,obj3,277.52670566938343,300.57231167490335
Towers_B,1.0,2.0,11.0,obj1,279.0283940966538,513.7123056288115
Towers_B,1.0,3.0,11.0,obj2,304.8769277076425,311.26339411558024
Towers_B,1.0,4.0,11.0,obj3,291.20928527207667,278.3655426733386
Towers_B,1.0,5.0,11.0,obj2,304.1412927434951,491.8071127978708
Towers_B,1.0,6.0,11.0,obj2,305.18666417247726,421.3133151966547
Towers_B,1.0,7.0,11.0,obj3,290.3436815543148,242.87263041074291
Towers_B,1.0,8.0,11.0,obj2,312.72462874034784,296.2616422641105
Towers_B,1.0,9.0,11.0,obj2,312.30072135989286,329.83453625638424
Towers_B,1.0,10.0,11.0,obj3,282.5605368914658,341.63016311250226
Catapult,0.0,0.0,11.0,obj1,415.8365809239276,262.05812067377303
Catapult,0.0,1.0,11.0,obj1,406.49791869102125,266.9938029416212
Catapult,0.0,2.0,11.0,obj1,400.21589193383386,282.9749355705076
Catapult,0.0,3.0,11.0,obj2,286.12115188912423,207.23819416087449
Catapult,0.0,4.0,11.0,obj3,404.83817692180963,339.3196403453125
Catapult,0.0,5.0,11.0,obj3,417.4612965723853,344.47896389386125
Catapult,0.0,6.0,11.0,obj3,389.8864006529135,483.78235169733136
Catapult,0.0,7.0,11.0,obj2,207.53198688142345,519.2391806974158
Catapult,0.0,8.0,11.0,obj1,358.5949254189652,288.69873734395236
Catapult,0.0,9.0,11.0,obj1,176.64719708660718,276.1639872382266
Catapult,0.0,10.0,11.0,obj1,182.14919883752117,288.3340751043168
Prevention_A,0.0,0.0,5.0,obj2,489.7799046029808,143.9926103534665
Prevention_A,0.0,1.0,5.0,obj1,475.7819703130122,351.79879599425135
Prevention_A,0.0,2.0,5.0,obj3,33.823394399044034,385.6067954509491
Prevention_A,0.0,3.0,5.0,obj1,486.0103933066775,357.0
Prevention_A,0.0,4.0,5.0,obj1,494.5919010261792,351.32002530506463
Bridge,0.0,0.0,1.0,obj1,292.03513201253946,48.0
Falling_B,0.0,0.0,11.0,obj3,241.98244909034787,349.6107160142775
Falling_B,0.0,1.0,11.0,obj2,330.3550533300879,488.0812604824197
Falling_B,0.0,2.0,11.0,obj2,301.3448698034053,418.93930143690636
Falling_B,0.0,3.0,11.0,obj2,272.46626664544317,486.433195465228
Falling_B,0.0,4.0,11.0,obj2,358.98187473091315,388.49149725461234
Falling_B,0.0,5.0,11.0,obj1,293.2399634721173,442.7951121573888
Falling_B,0.0,6.0,11.0,obj3,352.0544775779641,443.32849084077554
Falling_B,0.0,7.0,11.0,obj1,292.10927773054186,379.4915041351126
Falling_B,0.0,8.0,11.0,obj1,300.3188315126765,450.7288436427642
Falling_B,0.0,9.0,11.0,obj1,307.9607395825348,398.2175362315488
Falling_B,0.0,10.0,11.0,obj1,348.75694516085036,539.5193295556736
Chaining,0.0,0.0,9.0,obj2,66.24059697416214,437.92115016817587
Chaining,0.0,1.0,9.0,obj2,539.4699623099231,203.05680867110996
Chaining,0.0,2.0,9.0,obj3,520.2640316093542,23.0
Chaining,0.0,3.0,9.0,obj3,520.4761272867288,23.0
Chaining,0.0,4.0,9.0,obj1,536.3561427676285,431.52773771563994
Chaining,0.0,5.0,9.0,obj1,533.1527428999794,76.11279605510873
Chaining,0.0,6.0,9.0,obj2,65.65440948082066,451.39258900088583
Chaining,0.0,7.0,9.0,obj2,530.8519693936755,229.80567440118813
Chaining,0.0,8.0,9.0,obj1,50.73280959995812,549.4498180448843
Unbox,1.0,0.0,1.0,obj1,523.329631759682,320.04215782775236
Unbox,2.0,0.0,7.0,obj1,440.8947986500468,188.53370158769218
